param n := 11;
param pressupost:= 2000000000;
param Interes:= 0.1;
param Times :=
 1 7
 2 3
 3 2
 4 8
 5 1
 6 1
 7 2
 8 3
 9 2
10 1
11 2;
param costProporcional := 1.2;
param TimeCrash :=
 1 5
 2 2
 3 1
 4 5
 5 1
 6 1
 7 1
 8 2
 9 1
10 1
11 1;

param Pareto :=
 1 0
 2 0
 3 0
 4 0
 5 0
 6 0
 7 0
 8 0
 9 0
10 0
11 0;

param CrashCosts :=
 1 3
 2 3
 3 3
 4 4
 5 3
 6 6
 7 2
 8 2
 9 2
10 2
11 3;
param Costs :=
 1 5
 2 5
 3 5
 4 5
 5 5
 6 10
 7 4
 8 3
 9 3
10 4
11 5;

param numDependencies := 16;
param Dependencies: 1 2 :=
 1  2 1   
 2  4 1   
 3  3 2  
 4  5 3  
 5  5 4   
 6  7 3   
 7  7 4  
 8  6 4  
 9  6 3   
10  8 6 
11  8 7   
12  9 8   
13  10 7  
14  10 5  
15  10 9  
16  11 10 
;

